"Kode Provinsi 
Kemendagri",Provinsi,Tahun,Alokasi (Ton) ,Realisasi (Ton),Ketercapaian
82,Maluku Utara,2020,801,785,0.980024969
91,Papua,2020,"8,081.00","7,689.15",0.951509714
92,Papua Barat,2020,"1,080.00","1,077.80",0.997962963
11,Aceh,2021,"76,007.00","73,798.00",0.970936887
12,Sumatera Utara,2021,"152,627.00","146,842.00",0.962097139
13,Sumatera Barat,2021,"70,462.00","66,821.30",0.948331015
14,Riau,2021,"41,341.00","40,873.40",0.988689195
15,Jambi,2021,"30,353.00","30,054.70",0.990172306
16,Sumatera Selatan,2021,"139,279.00","125,824.50",0.903398933
17,Bengkulu,2021,"29,812.00","26,128.10",0.876428955
18,Lampung,2021,"282,614.00","281,132.20",0.994756806
19,Kep. Bangka Belitung,2021,"31,060.00","30,840.00",0.992916935
21,Kepulauan Riau,2021,119,119,1
31,DKI Jakarta,2021,59,59,1
32,Jawa Barat,2021,"600,996.00","488,157.55",0.812247586
33,Jawa Tengah,2021,"700,692.00","580,837.90",0.828948953
34,D.I. Yogyakarta,2021,"40,147.00","29,643.50",0.738373976
35,Jawa Timur,2021,"955,762.00","862,592.05",0.902517625
36,Banten,2021,"73,884.00","54,726.80",0.740712468
51,Bali,2021,"32,798.00","26,418.85",0.80550186
52,Nusa Tenggara Barat,2021,"188,547.00","184,453.65",0.978290028
53,Nusa Tenggara Timur,2021,"34,532.00","20,490.95",0.593390189
61,Kalimantan Barat,2021,"31,646.00","30,003.00",0.948081906
62,Kalimantan Tengah,2021,"15,968.00","15,423.35",0.965891157
63,Kalimantan Selatan,2021,"32,677.00","29,723.30",0.909609205
64,Kalimantan Timur,2021,"29,901.00","18,029.60",0.602976489
65,Kalimantan Utara,2021,"5,315.00","3,786.75",0.712464722
71,Sulawesi Utara,2021,"32,634.00","21,542.65",0.660129007
72,Sulawesi Tengah,2021,"42,891.00","31,171.30",0.726756196
73,Sulawesi Selatan,2021,"324,083.00","301,775.90",0.931168559
74,Sulawesi Tenggara,2021,"38,492.00","20,344.15",0.528529305
75,Gorontalo,2021,"56,002.00","41,041.55",0.732858648
76,Sulawesi Barat,2021,"49,708.00","33,279.90",0.669507926
81,Maluku,2021,"4,691.00","1,928.35",0.411074398
82,Maluku Utara,2021,"3,630.00",476,0.131129477
91,Papua,2021,"14,589.00","5,982.05",0.410038385
92,Papua Barat,2021,"3,351.00",924.5,0.275887795
11,Aceh,2022,"79,596.00","76,913.28",0.966295794
12,Sumatera Utara,2022,"168,487.00","161,980.07",0.961380225
13,Sumatera Barat,2022,"79,951.00","75,316.53",0.942033621
14,Riau,2022,"26,398.00","25,749.60",0.975437533
15,Jambi,2022,"26,027.00","26,008.04",0.999271526
16,Sumatera Selatan,2022,"120,541.00","117,545.10",0.975146216
17,Bengkulu,2022,"23,353.00","22,775.17",0.975256712
18,Lampung,2022,"278,799.00","276,139.16",0.99045965
19,Kep. Bangka Belitung,2022,"16,738.00","16,606.60",0.9921496
21,Kepulauan Riau,2022,115,62.53,0.54373913
31,DKI Jakarta,2022,52,51.25,0.985576923
32,Jawa Barat,2022,"548,235.00","540,289.91",0.985507875
33,Jawa Tengah,2022,"689,554.00","660,667.58",0.958108546
34,D.I. Yogyakarta,2022,"38,349.00","34,583.33",0.901805262
35,Jawa Timur,2022,"1,032,152.00","1,002,732.61",0.971497037
36,Banten,2022,"61,845.00","57,579.04",0.931021748
51,Bali,2022,"35,339.00","29,186.86",0.82591075
52,Nusa Tenggara Barat,2022,"225,993.00","215,930.85",0.955475833
53,Nusa Tenggara Timur,2022,"25,597.00","24,762.73",0.967407509
61,Kalimantan Barat,2022,"34,493.00","32,707.75",0.948243122
62,Kalimantan Tengah,2022,"15,247.00","12,895.65",0.845782777
63,Kalimantan Selatan,2022,"29,600.00","28,326.72",0.956983784
64,Kalimantan Timur,2022,"14,735.00","12,526.50",0.850118765
65,Kalimantan Utara,2022,"4,191.00","2,676.64",0.638663803
71,Sulawesi Utara,2022,"21,169.00","18,601.93",0.87873447
72,Sulawesi Tengah,2022,"37,553.00","36,277.25",0.966028014
73,Sulawesi Selatan,2022,"358,354.00","347,150.85",0.968737198
74,Sulawesi Tenggara,2022,"22,585.00","20,363.85",0.901653752
75,Gorontalo,2022,"47,980.00","45,914.07",0.956941851
76,Sulawesi Barat,2022,"36,384.00","35,025.33",0.962657487
81,Maluku,2022,"2,910.00","2,392.90",0.822302405
82,Maluku Utara,2022,908,630.5,0.69438326
91,Papua,2022,"9,911.00","9,054.05",0.913535466
92,Papua Barat,2022,"1,308.00",986.48,0.754189602
