_id,Bulan,satuan,Gabah,Beras Premium,Beras Medium,Beras Lokal,Jagung Pipil,Jagung Giling,Tepung Terigu,Kedelai,Daging Sapi,Daging Ayam Potong,Telur Ayam Ras,Minyak Goreng Curah,Minyak Goreng Kemasan,Gula Pasir,Bawang Merah,Bawang Putih,Cabe Keriting,Cabe Rawit,Ubi Jalar,Ubi Kayu,Tomat ,Kentang,Wortel 
1,Januari,rupiah,3800,12667,11667,10000,8000,10000,8000,13667,130000,41250,30750,n/a,21000,13000,28833,28250,70000,89167,7333,4000,12000,18667,28333
2,Februari,rupiah,3800,13000,12000,10000,8000,10000,8000,13000,130000,41750,25625,n/a,20250,13750,33250,30000,47500,60000,6000,4000,12000,18000,19167
3,Maret,rupiah,3800,13000,12000,10000,8333,10000,9167,15167,130000,36833,25583,n/a,25000,16000,37667,31500,50000,73333,6000,3000,12000,18000,15833
4,April,rupiah,3800,12500,11167,10000,7667,10000,9833,15000,135000,39167,26667,n/a,24917,15667,31417,31750,54583,63833,7167,3667,11000,15333,17333
5,Mei,rupiah,3800,12500,11500,10000,7500,10000,9500,14000,138333,42417,28208,n/a,25500,16000,38000,30833,42500,58333,6667,9667,15500,15000,17167
6,Juni,rupiah,3800,12583,11583,10000,8000,10000,10000,15000,140000,46250,30000,n/a,24333,15583,58333,28417,54167,103333,8000,4000,20000,15333,14333
7,Juli,rupiah,4000,12000,11000,10000,7167,10000,10333,15000,140000,38250,29833,n/a,24500,15000,72083,27083,64583,97500,7667,5000,18167,16000,16000
8,Agustus,rupiah,4000,12000,11000,10000,7833,10667,10333,15500,140000,36333,28750,n/a,17000,15000,37833,27000,64583,77083,9667,4667,16167,17667,17833
9,September,rupiah,4000,12000,11000,10000,8000,10000,10667,15000,140000,38833,30250,n/a,18667,14167,36750,27500,55000,69667,7000,5000,12000,18000,17000
10,Oktober,rupiah,4000,12333,11333,10167,7500,10000,11000,15000,140000,40833,28000,n/a,20667,14083,33000,26500,48750,60667,7000,5000,11750,16750,15750
11,November,rupiah,4000,12667,11667,10667,7000,10000,11167,15333,140000,40000,27917,n/a,21833,14000,38667,26333,30000,45833,8667,5667,12000,17250,18500
12,Desember,rupiah,4000,13000,12000,11000,7000,9000,11000,15000,140000,41000,30125,n/a,23000,14000,37500,27500,40000,50000,10000,7000,13000,18000,19000
