_id,Bulan,satuan,Gabah,Beras Premium,Beras Medium,Beras Lokal,Jagung Pipil,Jagung Giling,Tepung Terigu,Kedelai,Daging Sapi,Daging Ayam Potong,Telur Ayam Ras,Minyak Goreng Curah,Minyak Goreng Kemasan,Gula Pasir,Bawang Merah,Bawang Putih,Cabe Keriting,Cabe Rawit,Ubi Jalar,Ubi Kayu,Tomat ,Kentang,Wortel 
1,Januari,rupiah,3900,13000,12000,10000,6000,8000,8000,12000,120000,33375,26719,n/a,15000,13000,29000,26375,71875,81250,8000,4000,11375,16000,16000
2,Februari,rupiah,3900,12469,11000,10000,7000,9000,7875,12000,120000,37750,26406,n/a,15250,13000,28125,26188,46250,80750,8250,3500,8000,15375,15375
3,Maret,rupiah,3900,12313,11000,10000,6938,9375,8000,12000,121250,38250,26625,n/a,15000,13000,32063,27750,44750,115000,7813,3438,11000,15500,15625
4,April,rupiah,3800,12313,11000,10000,6938,9375,8000,12000,128125,34125,27500,n/a,15938,13000,28500,28750,37125,73125,5500,3250,11875,18125,30938
5,Mei,rupiah,3875,12875,11000,9750,7000,10500,8375,12500,132500,40125,27406,n/a,16000,13000,28938,27313,28125,75938,6000,4250,12250,18375,21250
6,Juni,rupiah,3875,12906,11125,9750,8000,9500,8000,13000,129375,43000,27156,n/a,16000,13000,25938,28000,28438,53125,7250,4000,14938,18125,18125
7,Juli,rupiah,3875,12875,11063,10250,7250,9500,8500,12688,130000,36000,27188,n/a,16000,13000,32375,28063,38000,64406,7250,4000,15500,16750,18000
8,Agustus,rupiah,3875,12875,11125,10250,7250,9750,9000,12375,126250,33688,26313,n/a,16125,13125,33125,28625,28750,44688,7625,4125,17375,17125,17250
9,September,rupiah,3875,12875,11250,10125,7250,9625,9000,12375,126250,33188,26625,n/a,16000,13000,32375,28000,28125,44688,7250,4000,17500,16875,16875
10,Oktober,rupiah,3875,12875,11000,10250,7250,9750,9000,12500,126250,41938,24688,n/a,16000,13000,26375,27750,30000,29375,7250,4000,11500,15500,16500
11,November,rupiah,4825,12375,10938,10188,7375,9813,7969,13125,129063,38188,27406,n/a,19063,13000,24688,27125,42188,32500,6500,4188,11625,15750,18250
12,Desember,rupiah,4956,12281,11250,10000,7938,10000,7875,13250,130000,37250,27500,n/a,20750,13000,27188,27250,81875,93750,6594,3813,12750,17938,27313
