TANAMAN,JENIS,KODE PROVINSI (BPS),PROVINSI,TAHUN,LUAS PANEN (HA),PRODUKSI (KWINTAL),PRODUKTIVITAS
Paprika,Sayuran,14,RIAU,2021,0,0, -   
Paprika,Sayuran,15,JAMBI,2021,6,902, 150.33 
Paprika,Sayuran,16,SUMATERA SELATAN,2021,2,4, 2.00 
Paprika,Sayuran,17,BENGKULU,2021,0,0, -   
Paprika,Sayuran,18,LAMPUNG,2021,0,0, -   
Paprika,Sayuran,19,KEPULAUAN BANGKA BELITUNG,2021,0,0, -   
Paprika,Sayuran,21,KEPULAUAN RIAU,2021,0,0, -   
Paprika,Sayuran,31,DKI JAKARTA,2021,0,0, -   
Paprika,Sayuran,32,JAWA BARAT,2021,209.9,43729.2, 208.33 
Paprika,Sayuran,33,JAWA TENGAH,2021,18,833, 46.28 
Paprika,Sayuran,34,DI YOGYAKARTA,2021,0,0, -   
Paprika,Sayuran,35,JAWA TIMUR,2021,320,77810, 243.16 
Paprika,Sayuran,36,BANTEN,2021,0,0, -   
Paprika,Sayuran,51,BALI,2021,5.4,853.4, 158.04 
Paprika,Sayuran,52,NUSA TENGGARA BARAT,2021,0,0, -   
Paprika,Sayuran,53,NUSA TENGGARA TIMUR,2021,37.3,1495, 40.08 
Paprika,Sayuran,61,KALIMANTAN BARAT,2021,3.5,8, 2.29 
Paprika,Sayuran,62,KALIMANTAN TENGAH,2021,0.75,1.5, 2.00 
Paprika,Sayuran,63,KALIMANTAN SELATAN,2021,0,0, -   
Paprika,Sayuran,64,KALIMANTAN TIMUR,2021,3,420, 140.00 
Paprika,Sayuran,65,KALIMANTAN UTARA,2021,0,0, -   
Paprika,Sayuran,71,SULAWESI UTARA,2021,0,0, -   
Paprika,Sayuran,72,SULAWESI TENGAH,2021,7,116, 16.57 
Paprika,Sayuran,73,SULAWESI SELATAN,2021,0,0, -   
Paprika,Sayuran,74,SULAWESI TENGGARA,2021,0,0, -   
Paprika,Sayuran,75,GORONTALO,2021,0,0, -   
Paprika,Sayuran,76,SULAWESI BARAT,2021,0,0, -   
Paprika,Sayuran,81,MALUKU,2021,4.5,233, 51.78 
Paprika,Sayuran,82,MALUKU UTARA,2021,1.5,3.2, 2.13 
Paprika,Sayuran,91,PAPUA BARAT,2021,18,234, 13.00 
Paprika,Sayuran,94,PAPUA,2021,0.1,5, 50.00 
Petsai/Sawi,Sayuran,11,ACEH,2021,394.85,32061.5, 81.20 
Petsai/Sawi,Sayuran,12,SUMATERA UTARA,2021,6204.54,749078.83, 120.73 
Petsai/Sawi,Sayuran,13,SUMATERA BARAT,2021,3139.47,352827.75, 112.38 
Petsai/Sawi,Sayuran,14,RIAU,2021,513.64,16734.14, 32.58 
Petsai/Sawi,Sayuran,15,JAMBI,2021,920.61,122188.65, 132.73 
Petsai/Sawi,Sayuran,16,SUMATERA SELATAN,2021,531.56,40548.83, 76.28 
Petsai/Sawi,Sayuran,17,BENGKULU,2021,2620.11,356338.2, 136.00 
Petsai/Sawi,Sayuran,18,LAMPUNG,2021,1305.25,101796.55, 77.99 
Petsai/Sawi,Sayuran,19,KEPULAUAN BANGKA BELITUNG,2021,335.99,16539.55, 49.23 
Petsai/Sawi,Sayuran,21,KEPULAUAN RIAU,2021,330.11,14954.21, 45.30 
Petsai/Sawi,Sayuran,31,DKI JAKARTA,2021,404.39,26840.41, 66.37 
Petsai/Sawi,Sayuran,32,JAWA BARAT,2021,11927.5,1889438.5, 158.41 
Petsai/Sawi,Sayuran,33,JAWA TENGAH,2021,10294.45,1092937.2, 106.17 
Petsai/Sawi,Sayuran,34,DI YOGYAKARTA,2021,501.99,41363, 82.40 
Petsai/Sawi,Sayuran,35,JAWA TIMUR,2021,7100.21,826126.72, 116.35 
Petsai/Sawi,Sayuran,36,BANTEN,2021,985.51,67857.85, 68.86 
Petsai/Sawi,Sayuran,51,BALI,2021,2108,245193.1, 116.32 
Petsai/Sawi,Sayuran,52,NUSA TENGGARA BARAT,2021,338.18,36278.29, 107.28 
Petsai/Sawi,Sayuran,53,NUSA TENGGARA TIMUR,2021,2178.01,133762.55, 61.42 
Petsai/Sawi,Sayuran,61,KALIMANTAN BARAT,2021,1746.11,51184.35, 29.31 
Petsai/Sawi,Sayuran,62,KALIMANTAN TENGAH,2021,507.1,28385.05, 55.98 
Petsai/Sawi,Sayuran,63,KALIMANTAN SELATAN,2021,517.89,14413.93, 27.83 
Petsai/Sawi,Sayuran,64,KALIMANTAN TIMUR,2021,1142.28,69146.29, 60.53 
Petsai/Sawi,Sayuran,65,KALIMANTAN UTARA,2021,450.52,18910.77, 41.98 
Petsai/Sawi,Sayuran,71,SULAWESI UTARA,2021,2999.45,480222.65, 160.10 
Petsai/Sawi,Sayuran,72,SULAWESI TENGAH,2021,1268.47,147660.98, 116.41 
Petsai/Sawi,Sayuran,73,SULAWESI SELATAN,2021,2270.32,155901.12, 68.67 
Petsai/Sawi,Sayuran,74,SULAWESI TENGGARA,2021,701.53,11913.55, 16.98 
Petsai/Sawi,Sayuran,75,GORONTALO,2021,21,245, 11.67 
Petsai/Sawi,Sayuran,76,SULAWESI BARAT,2021,3147.5,6327.5, 2.01 
Petsai/Sawi,Sayuran,81,MALUKU,2021,766.95,38035.34, 49.59 
Petsai/Sawi,Sayuran,82,MALUKU UTARA,2021,356.4,12377.77, 34.73 
Petsai/Sawi,Sayuran,91,PAPUA BARAT,2021,593.89,16350.06, 27.53 
Petsai/Sawi,Sayuran,94,PAPUA,2021,1002.08,60729.54, 60.60 
Semangka,Buah,11,ACEH,2021,847.7,77248, 91.13 
Semangka,Buah,12,SUMATERA UTARA,2021,2205.13,198985.3, 90.24 
Semangka,Buah,13,SUMATERA BARAT,2021,1067.75,202832.5, 189.96 
Semangka,Buah,14,RIAU,2021,1545.75,160457.11, 103.81 
Semangka,Buah,15,JAMBI,2021,495.2,49793, 100.55 
Semangka,Buah,16,SUMATERA SELATAN,2021,1461.75,143851.8, 98.41 
Semangka,Buah,17,BENGKULU,2021,235.2,6040, 25.68 
Semangka,Buah,18,LAMPUNG,2021,1629.25,183204.97, 112.45 
Semangka,Buah,19,KEPULAUAN BANGKA BELITUNG,2021,141.85,22675.4, 159.85 
Semangka,Buah,21,KEPULAUAN RIAU,2021,173.79,16006.44, 92.10 
Semangka,Buah,31,DKI JAKARTA,2021,0.05,2.0699999, 41.40 
